DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1193,Ly-6870,,,4030,30,,charcoal,,7080,"Portus, Fiumicino",CT1,harbour,12.2562,41.7752,A,Salomon et al. 2012,
1194,Ly-6894,,,1940,30,,charcoal,,7080,"Portus, Fiumicino",CT1,harbour,12.2562,41.7752,A,Salomon et al. 2012,
1195,Ly-6895,,,1920,30,,seed,,7080,"Portus, Fiumicino",CT1,harbour,12.2562,41.7752,A,Salomon et al. 2012,
1196,Ly-7081,,,1830,30,,wood,,7080,"Portus, Fiumicino",CT1,harbour,12.2562,41.7752,A,Salomon et al. 2012,
1197,Ly-8045,GrA-,,2295,30,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,Goiran et al. 2014,
1198,Ly-8046,GrA-,,2055,25,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1199,Ly-8059,GrA-,,2040,25,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1200,Ly-8060,GrA-,,2040,25,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1201,Ly-8061,GrA-,,1990,25,,charcoal,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1202,Ly-8062,GrA-,,2050,25,,organic matter,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1203,Ly-8063,GrA-,,2025,25,,plant matter,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1204,Ly-8064,GrA-,,2050,25,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1205,Ly-8066,GrA-,,2955,25,,plant matter,Posidonia,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
1206,Ly-9092,GrA-,,2165,30,,wood,,7958,"Ostia, Fiumicino",,harbour,12.2803,41.7533,A,"Goiran, J.P., Salomon, F., Mazzini, I., Bravard, J.P., Pleuger, E., Vittori, C., Boetto, G., Christiansen, J., Arnaud, P., Pellegrino, A. and Pepe, C., 2014. Geoarchaeology confirms location of the ancient harbour basin of Ostia (Italy). Journal of Archaeological Science, 41, pp.389-398.",
